ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
25,5,1,0.0011235638336524183,2005,0,0
150,12,1,0.001106390810512337,2005,0,0
100,25,1,0.001096822501232473,2005,0,0
100,50,1,0.001096822501232473,2005,0,0
100,25,1,0.0013572648238276593,2005,0,1
100,50,1,0.0013572648238276593,2005,0,1
100,12,1,0.0012421774771939624,2005,0,1
100,12,3,0.0011975916468220304,2005,0,1
150,12,1,0.001106390810512337,2005,0,2
100,25,1,0.001096822501232473,2005,0,2
100,50,1,0.001096822501232473,2005,0,2
150,5,1,0.0010454692919763902,2005,0,2
100,12,1,0.0013110455043410915,2005,0,3
100,5,1,0.001305194888885024,2005,0,3
12,12,5,0.0010859295357831499,2005,0,3
12,12,3,0.001075511354706492,2005,0,3
150,50,1,0.0011991473697890989,2005,0,4
150,25,1,0.0011359124555417354,2005,0,4
100,25,1,0.001096822501232473,2005,0,4
100,50,1,0.001096822501232473,2005,0,4
25,50,1,0.0010011844488030737,2005,0,5
12,25,1,0.000985681242344579,2005,0,5
25,12,10,0.0008697457324258772,2005,0,5
100,5,5,0.0008265802903247425,2005,0,5
12,12,3,0.001174878350804965,2005,0,6
100,50,3,0.0011175182942581132,2005,0,6
100,25,1,0.001096822501232473,2005,0,6
100,50,1,0.001096822501232473,2005,0,6
100,12,1,0.0011706415067070932,2005,0,7
100,25,1,0.0011706415067070932,2005,0,7
100,50,1,0.0011706415067070932,2005,0,7
100,5,1,0.0011386187706019717,2005,0,7
100,12,3,0.0011762486450151194,2005,0,8
12,25,1,0.000985681242344579,2005,0,8
100,12,5,0.000965057992968142,2005,0,8
12,50,10,0.0009507615565216617,2005,0,8
100,25,1,0.001096822501232473,2005,0,9
100,50,1,0.001096822501232473,2005,0,9
150,12,1,0.0010701218881586621,2005,0,9
100,25,3,0.0010584638098957177,2005,0,9
25,5,1,0.001235473494093131,2005,0,10
12,12,3,0.0010767196269119224,2005,0,10
12,50,1,0.0010638773349593918,2005,0,10
25,25,1,0.001055885076345344,2005,0,10
12,50,1,0.0011834337625374807,2005,0,11
150,12,1,0.001106390810512337,2005,0,11
100,25,1,0.001096822501232473,2005,0,11
100,50,1,0.001096822501232473,2005,0,11
12,12,10,0.00104999566785621,2005,0,12
25,50,1,0.0009433588319439139,2005,0,12
25,12,10,0.0008894153484767937,2005,0,12
12,12,5,0.0008628522473573412,2005,0,12
100,12,3,0.0012997726371596417,2005,0,13
150,12,1,0.0012367019568119441,2005,0,13
100,5,1,0.001108300082383914,2005,0,13
100,25,1,0.001096822501232473,2005,0,13
12,12,3,0.001174878350804965,2005,0,14
100,50,3,0.0011175182942581132,2005,0,14
100,25,1,0.001096822501232473,2005,0,14
100,50,1,0.001096822501232473,2005,0,14
25,50,1,0.0010011844488030737,2005,0,15
12,25,1,0.000985681242344579,2005,0,15
25,12,10,0.0008697457324258772,2005,0,15
100,5,5,0.0008265802903247425,2005,0,15
150,50,1,0.0011991473697890989,2005,0,16
150,25,1,0.0011359124555417354,2005,0,16
100,25,1,0.001096822501232473,2005,0,16
100,50,1,0.001096822501232473,2005,0,16
