ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
100,5,1,0.0010202225357094383,2006,0,0
100,25,1,0.0010202225357094383,2006,0,0
100,5,3,0.0009424265720937291,2006,0,0
100,25,3,0.0009424265720937291,2006,0,0
12,5,1,0.0010409730333679256,2006,0,1
12,5,5,0.0012998627043769764,2006,0,2
12,5,3,0.0012875225849099325,2006,0,2
25,5,5,0.0011534154388730998,2006,0,2
25,5,3,0.0010550808672862035,2006,0,2
25,50,1,0.0008877878572880557,2006,0,4
12,50,1,0.0008772019710306328,2006,0,4
25,25,1,0.0008612792544743839,2006,0,4
25,50,3,0.0008584963921352629,2006,0,4
25,25,1,0.0008478433498769456,2006,0,5
150,12,3,0.0011162600474344552,2006,0,6
100,5,3,0.001027883595203186,2006,0,6
150,12,5,0.00096394642973248,2006,0,6
100,5,5,0.0009418349539585339,2006,0,6
25,12,1,0.0008718819852468117,2006,0,7
12,25,1,0.0008363248365157468,2006,0,7
12,50,1,0.000823797426308828,2006,0,7
25,5,1,0.001798758007282448,2006,0,9
12,5,5,0.0013088375506775942,2006,0,9
25,5,5,0.0012880234474118802,2006,0,9
12,5,3,0.0012359935966065458,2006,0,9
12,5,1,0.0013534940133423632,2006,0,10
12,5,3,0.0011301485556552211,2006,0,10
150,5,1,0.0010003881522505664,2006,0,10
150,12,1,0.0010003881522505664,2006,0,10
100,5,1,0.001043905478808275,2006,0,11
150,5,1,0.001024120965690093,2006,0,11
150,5,3,0.0008772895360885317,2006,0,11
12,50,1,0.0008772019710306328,2006,0,11
25,50,1,0.0008877878572880557,2006,0,13
12,50,1,0.0008772019710306328,2006,0,13
150,12,3,0.0011162600474344552,2006,0,14
100,5,3,0.001027883595203186,2006,0,14
150,12,5,0.00096394642973248,2006,0,14
100,5,5,0.0009418349539585339,2006,0,14
25,25,1,0.0008478433498769456,2006,0,15
25,50,1,0.0008877878572880557,2006,0,16
12,50,1,0.0008772019710306328,2006,0,16
25,25,1,0.0008612792544743839,2006,0,16
25,50,3,0.0008584963921352629,2006,0,16
12,5,5,0.0012998627043769764,2006,0,18
12,5,3,0.0012875225849099325,2006,0,18
25,5,5,0.0011534154388730998,2006,0,18
25,5,3,0.0010550808672862035,2006,0,18
12,5,1,0.0010409730333679256,2006,0,19
25,50,1,0.0008877878572880557,2006,0,20
12,50,1,0.0008772019710306328,2006,0,20
25,50,3,0.0008584963921352629,2006,0,20
25,50,5,0.0008178802394752272,2006,0,20
25,5,1,0.001798758007282448,2006,0,21
12,5,5,0.0013088375506775942,2006,0,21
25,5,5,0.0012880234474118802,2006,0,21
12,5,3,0.0012359935966065458,2006,0,21
150,12,3,0.0011704493347504707,2006,0,23
150,12,1,0.0011000274963773686,2006,0,23
150,12,5,0.0010660767544519066,2006,0,23
150,5,1,0.0009772566688402646,2006,0,23
100,5,1,0.001043905478808275,2006,0,25
150,5,1,0.001024120965690093,2006,0,25
150,5,3,0.0008772895360885317,2006,0,25
12,50,1,0.0008772019710306328,2006,0,25
50,25,1,0.0014397676397401903,2006,1,2
50,12,1,0.0013210092920806367,2006,1,2
12,5,5,0.0011770982213287178,2006,1,2
12,5,3,0.0011384495764235449,2006,1,2
12,5,1,0.0010231105708028234,2006,1,7
50,25,1,0.002026840543916051,2006,1,9
50,12,1,0.001960550643718174,2006,1,9
12,5,5,0.0014494101881352287,2006,1,9
12,5,10,0.0010604758829372803,2006,1,9
12,25,1,0.0011560944604093331,2006,1,10
50,12,1,0.000924019270032656,2006,1,11
50,25,1,0.0014397676397401903,2006,1,18
50,12,1,0.0013210092920806367,2006,1,18
12,5,5,0.0011770982213287178,2006,1,18
12,5,3,0.0011384495764235449,2006,1,18
50,25,1,0.002026840543916051,2006,1,21
50,12,1,0.001960550643718174,2006,1,21
12,5,5,0.0014494101881352287,2006,1,21
12,5,10,0.0010604758829372803,2006,1,21
50,12,1,0.000924019270032656,2006,1,25
25,5,3,0.0010534602496953072,2006,2,2
50,50,3,0.00103229790191417,2006,2,2
25,12,3,0.0010047679105350763,2006,2,2
150,25,5,0.0009798858419125594,2006,2,2
12,12,5,0.0008871598984728356,2006,2,3
25,5,1,0.0009671179770633877,2006,2,4
50,25,3,0.0008760012573190539,2006,2,5
100,5,1,0.000928289033050187,2006,2,6
150,5,5,0.0008439803419565155,2006,2,6
150,50,5,0.000843224034474796,2006,2,6
100,5,3,0.0008276208566906016,2006,2,6
25,5,3,0.0011227264164496455,2006,2,7
50,25,1,0.0010607806497994728,2006,2,7
50,12,3,0.0010279063392915637,2006,2,7
50,5,3,0.0010239452978884076,2006,2,7
12,5,5,0.0011153963679816335,2006,2,8
50,25,1,0.0010753349633514783,2006,2,8
12,5,1,0.0008846137847539091,2006,2,8
12,5,3,0.0008799718422855961,2006,2,8
100,5,1,0.0013848682335575653,2006,2,9
