ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
12,50,1,0.0010251030236307283,2005,0,0
12,25,1,0.000982941308301881,2005,0,0
25,25,1,0.0011612132636042098,2005,0,1
12,50,1,0.0012998127298428576,2005,0,7
12,25,1,0.0009175903767527346,2005,0,7
25,25,1,0.0010045578020964063,2005,0,10
12,5,1,0.000815811264229502,2005,0,12
25,25,1,0.0011612132636042098,2005,0,19
25,25,1,0.0012705437976493986,2005,0,20
25,50,1,0.001049839062433288,2005,0,20
12,5,1,0.000815811264229502,2005,0,24
25,25,1,0.0013235015631368275,2005,1,2
25,25,1,0.0013419378565249261,2005,1,3
150,5,1,0.0010089773840174588,2005,1,9
25,25,1,0.0008605003202186087,2005,1,10
12,12,1,0.0012577725244339439,2005,1,13
25,25,1,0.0013419378565249261,2005,1,17
25,25,1,0.0013235015631368275,2005,1,18
25,25,1,0.0008239655779385393,2005,1,20
150,5,1,0.0010089773840174588,2005,1,21
12,5,1,0.0011652744598682602,2005,2,2
25,12,1,0.0008593500484433473,2005,2,2
100,5,1,0.000821961880056975,2005,2,6
12,50,1,0.0010184824035746696,2005,2,7
25,25,1,0.0014070576066550252,2005,2,8
150,5,1,0.0013583968855866487,2005,2,9
150,12,1,0.0013583968855866487,2005,2,9
100,5,1,0.0010958792357161665,2005,2,9
100,25,1,0.0010815636558932629,2005,2,9
25,5,1,0.001036089339149399,2005,2,10
25,25,1,0.0008719674593496335,2005,2,10
12,50,1,0.001449207751299328,2005,2,12
12,25,1,0.0013084136436372117,2005,2,12
25,25,1,0.0011655517474998313,2005,2,13
12,12,1,0.0008188359031521459,2005,2,13
100,5,1,0.000821961880056975,2005,2,14
12,5,1,0.0011652744598682602,2005,2,18
25,12,1,0.0008593500484433473,2005,2,18
25,25,1,0.0013235015631368275,2005,2,19
150,5,1,0.0013583968855866487,2005,2,21
150,12,1,0.0013583968855866487,2005,2,21
100,5,1,0.0010958792357161665,2005,2,21
100,25,1,0.0010815636558932629,2005,2,21
25,25,1,0.0014070576066550252,2005,2,22
12,5,1,0.0008350898525356542,2005,2,23
12,50,1,0.001449207751299328,2005,2,24
12,25,1,0.0013084136436372117,2005,2,24
100,25,1,0.0008816135811578815,2005,3,6
50,12,1,0.0008088322320110494,2005,3,8
12,50,1,0.00117070733857167,2005,3,9
150,12,1,0.0010841450685912949,2005,3,9
150,50,1,0.0008994694279806793,2005,3,9
25,5,1,0.0009870522725558568,2005,3,10
25,50,1,0.0008554492889206395,2005,3,10
12,50,1,0.0008965332693475727,2005,3,11
50,12,1,0.0008862470219639784,2005,3,13
100,25,1,0.0008816135811578815,2005,3,14
25,25,1,0.0013419378565249261,2005,3,19
12,50,1,0.00117070733857167,2005,3,21
150,12,1,0.0010841450685912949,2005,3,21
150,50,1,0.0008994694279806793,2005,3,21
50,12,1,0.0008088322320110494,2005,3,22
12,50,1,0.0008965332693475727,2005,3,25
150,5,1,0.0012513016063597307,2005,4,9
150,12,1,0.0010817823685626575,2005,4,9
150,25,1,0.0010755902813646891,2005,4,9
25,25,1,0.0009322521069567946,2005,4,10
50,12,1,0.0009481682595252564,2005,4,20
150,5,1,0.0012513016063597307,2005,4,21
150,12,1,0.0010817823685626575,2005,4,21
150,25,1,0.0010755902813646891,2005,4,21
150,5,1,0.0012144950705583286,2005,5,9
150,25,1,0.0010755902813646891,2005,5,9
150,12,1,0.0008169321540610456,2005,5,9
50,12,1,0.0010162284358126905,2005,5,13
50,12,1,0.0008952118202966887,2005,5,20
150,5,1,0.0012144950705583286,2005,5,21
150,25,1,0.0010755902813646891,2005,5,21
150,12,1,0.0008169321540610456,2005,5,21
100,25,1,0.0008328690175753952,2005,6,6
100,50,1,0.0008328690175753952,2005,6,6
100,5,1,0.0013940790534803856,2005,6,9
100,12,1,0.0013175946266427328,2005,6,9
100,25,1,0.0011607516659506813,2005,6,9
150,12,1,0.001105238713316933,2005,6,9
25,50,1,0.0008518488948736537,2005,6,10
100,25,1,0.0008328690175753952,2005,6,14
100,50,1,0.0008328690175753952,2005,6,14
100,25,1,0.0008816135811578815,2005,6,17
100,5,1,0.000821961880056975,2005,6,18
100,12,1,0.000993177677075389,2005,6,20
100,25,1,0.0008670102773431997,2005,6,20
100,5,1,0.0013940790534803856,2005,6,21
100,12,1,0.0013175946266427328,2005,6,21
100,25,1,0.0011607516659506813,2005,6,21
150,12,1,0.001105238713316933,2005,6,21
50,50,1,0.0008220080698681395,2005,7,8
12,50,1,0.0013280774345374698,2005,7,9
25,50,3,0.0009200350434346339,2005,7,9
25,25,1,0.00086174055211131,2005,7,10
12,50,1,0.0010539033653133728,2005,7,11
12,25,1,0.0010225328676174384,2005,7,11
12,50,1,0.0008536631799818858,2005,7,12
12,50,1,0.0010184824035746696,2005,7,18
12,50,1,0.0013280774345374698,2005,7,21
25,50,3,0.0009200350434346339,2005,7,21
50,50,1,0.0008220080698681395,2005,7,22
