ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
150,12,1,0.0012146748263737522,2005,0,0
150,25,1,0.0012146748263737522,2005,0,0
150,50,1,0.0012146748263737522,2005,0,0
100,5,1,0.0011619888379393423,2005,0,0
100,12,1,0.0012017106027199865,2005,0,1
100,50,5,0.0010888704716858124,2005,0,1
100,25,3,0.0010814767670363815,2005,0,1
100,25,5,0.0010719452519553333,2005,0,1
150,5,1,0.0012190563286642547,2005,0,2
150,25,1,0.0012146748263737522,2005,0,2
150,50,1,0.0012146748263737522,2005,0,2
100,50,1,0.001102434952391686,2005,0,2
25,12,1,0.001073391125631327,2005,0,3
12,5,10,0.0009927552711201679,2005,0,3
100,12,5,0.0009443268786557229,2005,0,3
12,12,1,0.0009365819859833572,2005,0,3
100,12,1,0.0011619888379393423,2005,0,4
100,25,1,0.0011619888379393423,2005,0,4
150,12,1,0.0011440866632084904,2005,0,4
100,25,3,0.0011122383810743923,2005,0,4
25,12,10,0.0010060540105880688,2005,0,5
25,12,1,0.0009385135910682653,2005,0,5
25,50,5,0.000892274453862329,2005,0,5
25,12,5,0.0008560398082519526,2005,0,5
25,12,1,0.0013078450958569083,2005,0,6
25,12,10,0.001082425863389505,2005,0,6
25,12,3,0.001019180679725438,2005,0,6
25,12,5,0.0010140461249847539,2005,0,6
100,25,1,0.0013565777599375294,2005,0,7
100,50,1,0.0013565777599375294,2005,0,7
150,5,1,0.0013337548950740899,2005,0,7
150,25,1,0.0013242118562591632,2005,0,7
25,50,3,0.0011223707774227812,2005,0,8
100,5,3,0.00105900625410018,2005,0,8
12,12,10,0.0010102907527064847,2005,0,8
25,50,5,0.000980615860105444,2005,0,8
150,25,1,0.0012146748263737522,2005,0,9
150,50,1,0.0012146748263737522,2005,0,9
100,25,1,0.0011619888379393423,2005,0,9
100,50,1,0.001102434952391686,2005,0,9
100,50,5,0.0010926456608440088,2005,0,10
50,50,1,0.0010806452942990442,2005,0,10
100,25,5,0.0010752157652013285,2005,0,10
25,25,5,0.0010685535058010617,2005,0,10
150,5,1,0.0015419549410428419,2005,0,11
100,25,1,0.0011619888379393423,2005,0,11
150,12,1,0.0011191822567724928,2005,0,11
100,50,1,0.001102434952391686,2005,0,11
12,12,1,0.0009756760473342775,2005,0,12
100,12,5,0.0009009726704790979,2005,0,12
25,12,10,0.0008798156332537013,2005,0,12
25,5,10,0.0008750198890042678,2005,0,12
150,12,1,0.0012125568204476582,2005,0,13
25,12,1,0.0009810465916535295,2005,0,13
150,5,1,0.0009459015211409456,2005,0,13
100,5,3,0.0009043011883405667,2005,0,13
25,12,1,0.0013078450958569083,2005,0,14
25,12,10,0.001082425863389505,2005,0,14
25,12,3,0.001019180679725438,2005,0,14
25,12,5,0.0010140461249847539,2005,0,14
25,12,10,0.0010060540105880688,2005,0,15
25,12,1,0.0009385135910682653,2005,0,15
25,50,5,0.000892274453862329,2005,0,15
25,12,5,0.0008560398082519526,2005,0,15
100,12,1,0.0011619888379393423,2005,0,16
100,25,1,0.0011619888379393423,2005,0,16
150,12,1,0.0011440866632084904,2005,0,16
100,25,3,0.0011122383810743923,2005,0,16
25,12,1,0.001073391125631327,2005,0,17
12,5,10,0.0009927552711201679,2005,0,17
100,12,5,0.0009443268786557229,2005,0,17
12,12,1,0.0009365819859833572,2005,0,17
150,5,1,0.0012190563286642547,2005,0,18
150,25,1,0.0012146748263737522,2005,0,18
150,50,1,0.0012146748263737522,2005,0,18
100,50,1,0.001102434952391686,2005,0,18
100,12,1,0.0012017106027199865,2005,0,19
100,50,5,0.0010888704716858124,2005,0,19
100,25,3,0.0010814767670363815,2005,0,19
100,25,5,0.0010719452519553333,2005,0,19
100,5,1,0.0011619888379393423,2005,0,20
100,12,1,0.0011619888379393423,2005,0,20
100,25,1,0.0011619888379393423,2005,0,20
100,50,1,0.001102434952391686,2005,0,20
150,25,1,0.0012146748263737522,2005,0,21
150,50,1,0.0012146748263737522,2005,0,21
100,25,1,0.0011619888379393423,2005,0,21
100,50,1,0.001102434952391686,2005,0,21
25,50,3,0.0011223707774227812,2005,0,22
100,5,3,0.00105900625410018,2005,0,22
12,12,10,0.0010102907527064847,2005,0,22
25,50,5,0.000980615860105444,2005,0,22
25,12,1,0.001740194413511776,2005,0,23
25,12,3,0.0014095936517882625,2005,0,23
25,12,5,0.0012818592173341938,2005,0,23
25,12,10,0.001135713438815076,2005,0,23
12,12,1,0.0009756760473342775,2005,0,24
100,12,5,0.0009009726704790979,2005,0,24
25,12,10,0.0008798156332537013,2005,0,24
25,5,10,0.0008750198890042678,2005,0,24
150,5,1,0.0015419549410428419,2005,0,25
100,25,1,0.0011619888379393423,2005,0,25
150,12,1,0.0011191822567724928,2005,0,25
100,50,1,0.001102434952391686,2005,0,25
100,25,1,0.001528422908571551,2005,1,7
12,50,1,0.0014472899698755122,2005,1,7
150,25,1,0.0013543085428808245,2005,1,7
150,50,1,0.0013543085428808245,2005,1,7
100,5,3,0.001084746979904603,2005,1,10
100,12,3,0.0010710211201137244,2005,1,10
100,25,3,0.0010006833251380847,2005,1,10
100,50,3,0.0010006833251380847,2005,1,10
25,12,1,0.0008225237079742628,2005,1,13
25,12,1,0.0010763929558411172,2005,1,23
12,5,1,0.0010039148423083295,2005,2,3
25,25,1,0.0009657020326669899,2005,2,3
100,25,1,0.0013565777599375294,2005,2,7
100,50,1,0.0013565777599375294,2005,2,7
150,5,1,0.0013337548950740899,2005,2,7
150,25,1,0.0013242118562591632,2005,2,7
50,12,1,0.0012431415560815568,2005,2,10
50,25,1,0.0010720520159888242,2005,2,10
150,5,1,0.0009501033650772537,2005,2,10
150,50,1,0.00092813533718464,2005,2,10
12,12,1,0.001143412690030021,2005,2,12
25,50,1,0.0008657454931026491,2005,2,12
12,5,1,0.0010039148423083295,2005,2,17
25,25,1,0.0009657020326669899,2005,2,17
25,12,1,0.0008675185612465028,2005,2,23
12,12,1,0.001143412690030021,2005,2,24
25,50,1,0.0008657454931026491,2005,2,24
25,50,1,0.001013143082235024,2005,3,3
12,12,1,0.0009453427894806514,2005,3,3
25,25,1,0.0008118309130564738,2005,3,3
12,12,5,0.0008712516659901278,2005,3,4
12,12,3,0.000869417967061279,2005,3,4
25,25,1,0.0011681593376599198,2005,3,5
25,12,1,0.0008136213213805315,2005,3,5
12,12,1,0.0008091802746743012,2005,3,5
25,5,1,0.0008506774237002385,2005,3,6
25,25,1,0.0008429929949816137,2005,3,6
25,50,1,0.0008276447984067561,2005,3,6
25,50,1,0.0013720749040162872,2005,3,7
25,50,3,0.0012888289352386494,2005,3,7
50,5,5,0.0011884193634339212,2005,3,7
25,50,5,0.0011216447302950716,2005,3,7
25,25,1,0.0010896711289651877,2005,3,8
100,5,1,0.0009386028810154953,2005,3,10
50,50,10,0.0008786118791010371,2005,3,10
12,5,10,0.0008720064037840666,2005,3,10
12,12,10,0.0008486075129136335,2005,3,10
12,5,1,0.0011364029283394443,2005,3,11
12,12,1,0.0012629093422369378,2005,3,12
12,12,3,0.0010653643305392163,2005,3,12
25,5,1,0.0012541631167560419,2005,3,13
25,5,3,0.0010105833393230428,2005,3,13
25,25,1,0.0009367878729380636,2005,3,13
25,5,5,0.0009017900623566884,2005,3,13
25,5,1,0.0008506774237002385,2005,3,14
25,25,1,0.0008429929949816137,2005,3,14
25,50,1,0.0008276447984067561,2005,3,14
25,25,1,0.0011681593376599198,2005,3,15
25,12,1,0.0008136213213805315,2005,3,15
12,12,1,0.0008091802746743012,2005,3,15
12,12,5,0.0008712516659901278,2005,3,16
12,12,3,0.000869417967061279,2005,3,16
