ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
25,50,3,0.001027311255740963,2006,0,0
25,50,1,0.0010262841046751318,2006,0,0
50,50,3,0.0010199179651966348,2006,0,0
12,50,1,0.0010003312228790548,2006,0,0
12,5,1,0.0009631774702428703,2006,0,1
50,50,1,0.0012020462076439186,2006,0,2
25,50,3,0.001027311255740963,2006,0,2
25,50,1,0.0010262841046751318,2006,0,2
100,5,3,0.0010158925384913186,2006,0,2
25,50,1,0.0009834655620366835,2006,0,3
25,50,3,0.001027311255740963,2006,0,4
25,50,1,0.0010262841046751318,2006,0,4
12,50,1,0.0010003312228790548,2006,0,4
25,25,1,0.000869248305085651,2006,0,4
25,50,1,0.001353289879440094,2006,0,5
25,25,1,0.001192544764638399,2006,0,5
25,50,1,0.0010262841046751318,2006,0,6
12,50,1,0.0010003312228790548,2006,0,6
150,5,1,0.0009912040675853718,2006,0,6
150,12,1,0.0009337885787176031,2006,0,6
12,12,1,0.0011260740953458722,2006,0,7
12,25,1,0.001081916229051621,2006,0,7
12,50,1,0.0009981326087668192,2006,0,7
150,12,1,0.0009469028423149601,2006,0,7
12,5,3,0.0008846140737243042,2006,0,8
25,50,3,0.001027311255740963,2006,0,9
25,50,1,0.0010262841046751318,2006,0,9
12,50,1,0.0010003312228790548,2006,0,9
150,5,1,0.0009912040675853718,2006,0,9
12,5,1,0.0014490466863546258,2006,0,10
150,25,1,0.0012080059753179285,2006,0,10
25,50,3,0.0011584390914878115,2006,0,10
150,5,1,0.0011483202152157673,2006,0,10
25,50,1,0.0010262841046751318,2006,0,11
12,50,1,0.0010003312228790548,2006,0,11
100,12,1,0.0009610726987386229,2006,0,11
100,12,3,0.0009088363839147318,2006,0,11
25,50,1,0.0014775639565197025,2006,0,12
25,25,1,0.0009507058709066616,2006,0,12
12,50,1,0.0010003312228790548,2006,0,13
150,50,1,0.0008713659572645257,2006,0,13
12,50,3,0.0008617284670059781,2006,0,13
12,50,5,0.0008445962724716864,2006,0,13
25,50,1,0.0010262841046751318,2006,0,14
12,50,1,0.0010003312228790548,2006,0,14
150,5,1,0.0009912040675853718,2006,0,14
150,12,1,0.0009337885787176031,2006,0,14
25,50,1,0.001353289879440094,2006,0,15
25,25,1,0.001192544764638399,2006,0,15
25,50,3,0.001027311255740963,2006,0,16
25,50,1,0.0010262841046751318,2006,0,16
12,50,1,0.0010003312228790548,2006,0,16
25,25,1,0.000869248305085651,2006,0,16
25,50,1,0.0009834655620366835,2006,0,17
50,50,1,0.0012020462076439186,2006,0,18
25,50,3,0.001027311255740963,2006,0,18
25,50,1,0.0010262841046751318,2006,0,18
100,5,3,0.0010158925384913186,2006,0,18
12,5,1,0.0009631774702428703,2006,0,19
25,50,3,0.001027311255740963,2006,0,20
25,50,1,0.0010262841046751318,2006,0,20
12,50,1,0.0010003312228790548,2006,0,20
25,50,5,0.0008737476134476145,2006,0,20
25,50,3,0.001027311255740963,2006,0,21
25,50,1,0.0010262841046751318,2006,0,21
12,50,1,0.0010003312228790548,2006,0,21
150,5,1,0.0009912040675853718,2006,0,21
12,5,3,0.0008846140737243042,2006,0,22
150,12,1,0.001120282334629625,2006,0,23
150,12,3,0.001068392022043353,2006,0,23
150,12,10,0.0010210784700988376,2006,0,23
12,50,1,0.0010003312228790548,2006,0,23
25,50,1,0.0014775639565197025,2006,0,24
25,25,1,0.0009507058709066616,2006,0,24
25,50,1,0.0010262841046751318,2006,0,25
12,50,1,0.0010003312228790548,2006,0,25
100,12,1,0.0009610726987386229,2006,0,25
100,12,3,0.0009088363839147318,2006,0,25
50,50,1,0.0008214845809518821,2006,1,1
100,25,1,0.0008214845809518821,2006,1,1
100,50,1,0.0008214845809518821,2006,1,1
100,25,1,0.0008214845809518821,2006,1,4
100,50,1,0.0008214845809518821,2006,1,4
12,5,3,0.0008171358896563756,2006,1,9
12,25,1,0.0013433385782523274,2006,1,10
12,25,3,0.0012365833047058962,2006,1,10
50,25,1,0.001137362120929898,2006,1,10
25,50,3,0.0011255784695509638,2006,1,10
100,25,1,0.0008214845809518821,2006,1,11
100,50,1,0.0008214845809518821,2006,1,11
100,25,1,0.0008214845809518821,2006,1,16
100,50,1,0.0008214845809518821,2006,1,16
50,50,1,0.0008214845809518821,2006,1,19
100,25,1,0.0008214845809518821,2006,1,19
100,50,1,0.0008214845809518821,2006,1,19
12,25,3,0.0008143510509574296,2006,1,19
100,25,1,0.0008214845809518821,2006,1,20
100,50,1,0.0008214845809518821,2006,1,20
12,5,3,0.0008171358896563756,2006,1,21
100,25,1,0.0008214845809518821,2006,1,25
100,50,1,0.0008214845809518821,2006,1,25
25,50,1,0.0008192261004419888,2006,2,3
150,12,1,0.0009469028423149601,2006,2,7
150,25,1,0.0009469028423149601,2006,2,7
50,5,3,0.0008514748078070658,2006,2,7
50,25,3,0.0008150824993615552,2006,2,7
12,5,5,0.000982570210652527,2006,2,8
12,5,3,0.0008301660737163439,2006,2,8
100,25,1,0.0013983416092652541,2006,2,10
100,50,1,0.0013983416092652541,2006,2,10
100,5,1,0.0012783322133934126,2006,2,10
150,25,1,0.0012080059753179285,2006,2,10
25,50,1,0.0008192261004419888,2006,2,17
12,5,5,0.000982570210652527,2006,2,22
12,5,3,0.0008301660737163439,2006,2,22
150,12,5,0.0012898319057623145,2006,3,10
150,25,3,0.0012559815426091939,2006,3,10
150,25,1,0.0012080059753179285,2006,3,10
150,5,1,0.0011483202152157673,2006,3,10
25,50,1,0.0008192261004419888,2006,3,18
12,5,1,0.0012663019766346298,2006,4,9
100,25,1,0.0013983416092652541,2006,4,10
100,50,1,0.0013983416092652541,2006,4,10
100,5,1,0.0012783322133934126,2006,4,10
150,25,1,0.0012080059753179285,2006,4,10
100,25,1,0.0008214845809518821,2006,4,19
100,50,1,0.0008214845809518821,2006,4,19
12,5,1,0.0012663019766346298,2006,4,21
25,50,1,0.001101620063625203,2006,5,7
25,25,1,0.0009047789137306145,2006,5,7
12,25,3,0.0009254212526141642,2006,5,10
25,50,3,0.0008173249872237898,2006,5,10
25,50,1,0.0008407045345101534,2006,5,11
25,50,1,0.0008407045345101534,2006,5,25
150,12,1,0.0009469028423149601,2006,6,7
150,25,1,0.0009469028423149601,2006,6,7
150,25,1,0.0012080059753179285,2006,6,10
25,50,3,0.0011584390914878115,2006,6,10
150,5,1,0.0011483202152157673,2006,6,10
150,12,1,0.0011464683633639154,2006,6,10
150,12,1,0.0009469028423149601,2006,7,7
150,25,1,0.0009469028423149601,2006,7,7
12,5,1,0.0008170004456455067,2006,7,8
150,12,1,0.0009469028423149601,2006,7,9
150,25,1,0.0009469028423149601,2006,7,9
150,25,1,0.0012080059753179285,2006,7,10
150,5,1,0.0011483202152157673,2006,7,10
150,12,1,0.0011464683633639154,2006,7,10
12,5,1,0.0010621465650132301,2006,7,10
150,12,1,0.0009469028423149601,2006,7,11
150,25,1,0.0009469028423149601,2006,7,11
25,50,1,0.0012258941407048117,2006,7,12
25,25,1,0.0009830681747438146,2006,7,12
150,12,1,0.0009469028423149601,2006,7,14
150,25,1,0.0009469028423149601,2006,7,14
25,50,1,0.001101620063625203,2006,7,15
25,25,1,0.0009047789137306145,2006,7,15
150,12,1,0.0009469028423149601,2006,7,18
150,25,1,0.0009469028423149601,2006,7,18
50,5,3,0.0008514748078070658,2006,7,18
50,25,3,0.0008150824993615552,2006,7,18
150,12,1,0.0009469028423149601,2006,7,21
150,25,1,0.0009469028423149601,2006,7,21
12,5,1,0.0008170004456455067,2006,7,22
150,12,1,0.0009469028423149601,2006,7,23
150,25,1,0.0009469028423149601,2006,7,23
150,12,10,0.0008243865026499625,2006,7,23
25,50,1,0.0012258941407048117,2006,7,24
