ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
25,50,1,0.0010300720373714399,2005,0,0
50,50,1,0.0009924396061577355,2005,0,1
50,50,1,0.0008715664133283968,2005,0,4
25,50,1,0.0010952853826706561,2005,0,7
25,50,3,0.0009039581290551694,2005,0,7
50,50,1,0.001016175337134951,2005,0,8
12,5,1,0.0015240280707231567,2005,0,9
25,5,1,0.0009163115445410595,2005,0,10
50,50,1,0.0008715664133283968,2005,0,16
50,50,1,0.0009924396061577355,2005,0,19
12,5,1,0.0015240280707231567,2005,0,21
50,50,1,0.001016175337134951,2005,0,22
50,50,1,0.0009668054999438522,2005,1,7
12,5,1,0.0012928662121639985,2005,1,9
100,5,1,0.0011426462699077658,2005,1,9
100,12,1,0.0008269233537910228,2005,1,9
12,25,1,0.0008014600023424093,2005,1,11
12,5,1,0.0012928662121639985,2005,1,21
100,5,1,0.0011426462699077658,2005,1,21
100,12,1,0.0008269233537910228,2005,1,21
12,25,1,0.0008014600023424093,2005,1,25
25,25,1,0.0009131331735466574,2005,2,2
12,5,1,0.001083205031654507,2005,2,9
150,5,1,0.000993837144217341,2005,2,9
150,12,1,0.000993837144217341,2005,2,9
150,25,1,0.000812759322452878,2005,2,9
150,25,1,0.0008180207797344614,2005,2,11
150,50,1,0.0008180207797344614,2005,2,11
25,25,1,0.0009131331735466574,2005,2,18
12,5,1,0.001083205031654507,2005,2,21
150,5,1,0.000993837144217341,2005,2,21
150,12,1,0.000993837144217341,2005,2,21
150,25,1,0.000812759322452878,2005,2,21
150,25,1,0.0008180207797344614,2005,2,25
150,50,1,0.0008180207797344614,2005,2,25
12,12,1,0.0009987284709608293,2005,3,7
150,25,1,0.000812759322452878,2005,3,9
25,5,1,0.0008826568172844412,2005,3,10
150,25,1,0.000812759322452878,2005,3,21
50,50,1,0.0008459323071145135,2005,4,7
150,12,1,0.000993837144217341,2005,4,9
150,5,1,0.0009625786958008087,2005,4,9
100,12,1,0.0008809520854626895,2005,4,9
150,25,1,0.000812759322452878,2005,4,9
150,12,1,0.000993837144217341,2005,4,21
150,5,1,0.0009625786958008087,2005,4,21
100,12,1,0.0008809520854626895,2005,4,21
150,25,1,0.000812759322452878,2005,4,21
100,5,1,0.0010420574818177982,2005,5,9
150,5,1,0.000993837144217341,2005,5,9
150,12,1,0.000993837144217341,2005,5,9
150,25,1,0.000812759322452878,2005,5,9
150,25,1,0.0008180207797344614,2005,5,11
150,50,1,0.0008180207797344614,2005,5,11
100,5,1,0.0010420574818177982,2005,5,21
150,5,1,0.000993837144217341,2005,5,21
150,12,1,0.000993837144217341,2005,5,21
150,25,1,0.000812759322452878,2005,5,21
150,25,1,0.0008180207797344614,2005,5,25
150,50,1,0.0008180207797344614,2005,5,25
25,5,1,0.0008090553277393023,2005,6,6
100,5,1,0.0009551727648825648,2005,6,9
12,5,1,0.0009324459469095545,2005,6,9
25,5,1,0.0008331705601099598,2005,6,9
12,12,1,0.000895039328276005,2005,6,10
25,5,1,0.0008090553277393023,2005,6,14
100,25,1,0.0009654719293510461,2005,6,20
100,5,1,0.0009551727648825648,2005,6,21
12,5,1,0.0009324459469095545,2005,6,21
25,5,1,0.0008331705601099598,2005,6,21
